PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40084673,Financial Toxicity in Early Phase Oncology Clinical Trials: A Review and Ethical Analysis.,2025-N/A,Williams C,Completed fellowships in hematology/oncology and biomedical ethics research at Mayo Clinic and now practices oncology in Nevada.,N/A
40084656,The value of real-world evidence in supporting targeted therapies for patients with rare oncogenic drivers in mNSCLC.,2025-Mar,Abrahami D,"HTA Value and Evidence, Oncology, Pfizer Inc, New York, NY, USA.",N/A
40084615,Development of a novel bifunctional anti-CD47 fusion protein with improved efficacy and a favorable safety profile.,2025-Mar,Matar S; Skah S; Diomande LE; Hestdal K; Pettersen RD; Richartz N,"Caedo Oncology, Oslo, Oslo, Norway.; Caedo Oncology, Oslo, Oslo, Norway.; Caedo Oncology, Oslo, Oslo, Norway.; Caedo Oncology, Oslo, Oslo, Norway.; Caedo Oncology, Oslo, Oslo, Norway.; Caedo Oncology, Oslo, Oslo, Norway.",N/A
40084367,Radiotherapy can significantly improve survival outcomes in patients with muscle-invasive bladder cancer who are unsuitable for cystectomy or chemoradiotherapy.,2025-N/A,Kang NW; Lin KL; Lin KY; Feng YH; Chen YC,"Division of Hematology and Oncology, Department of Internal Medicine, Chi Mei Medical Center No. 901, Zhonghua Road, Yung Kang District, Tainan, Taiwan.; Department of Radiation Oncology, Chi Mei Medical Center No. 901, Zhonghua Road, Yung Kang District, Tainan, Taiwan.; Department of Medical Research, Chi Mei Medical Center No. 901, Zhonghua Road, Yung Kang District, Tainan, Taiwan.; Division of Hematology and Oncology, Department of Internal Medicine, Chi Mei Medical Center No. 901, Zhonghua Road, Yung Kang District, Tainan, Taiwan.; Department of Medical Research, Chi Mei Medical Center No. 901, Zhonghua Road, Yung Kang District, Tainan, Taiwan.",N/A
40084320,Toxicity and Oncologic Outcomes of Proton Radiotherapy for Oropharyngeal Cancer: A Systematic Review and Meta-Analysis.,2025-Feb,Razavian NB; Shenker RF,"Radiation Oncology, Moffitt Cancer Center, Tampa, USA.; Radiation Oncology, Intermountain Health, Salt Lake City, USA.",N/A
40084273,Discovery and preclinical development of a SdAb-based CAR-T technology for targeting CD33 in AML.,2025-Mar,Jauregui P; Rodríguez-Diaz S; Vanrell L,"Hemato-Oncology Program, Cima Universidad de Navarra, IdiSNA, 31008 Pamplona, Spain.; Hemato-Oncology Program, Cima Universidad de Navarra, IdiSNA, 31008 Pamplona, Spain.; Nanogrow Biotech, Montevideo 11500, Uruguay.",N/A
40084235,Selecting patients with sickle cell disease for gene addition or gene editing-based therapeutic approaches: Report on behalf of a joint EHA Specialized Working Group and EBMT Hemoglobinopathies Working Party consensus conference.,2025-Mar,Lobitz S,"Pediatric Hematology & Oncology, Gemeinschaftsklinikum Mittelrhein Koblenz Germany.",N/A
40084168,"{'i': 'O', 'sup': '18', '#text': 'Functional connectivity between tumor region and resting-state networks as imaging biomarker for overall survival in recurrent gliomas diagnosed by -(2-[F]fluoroethyl)-l-tyrosine PET.'}",2025-N/A,Ruge MI,"Center of Integrated Oncology Aachen Bonn Cologne Duesseldorf (CIO ABCD), Cologne, Germany.",N/A
40084161,Independent Review Organization and Proton Therapy: Multistate Analysis and Legal Procedural Strategies.,2025-Mar,Brooks ED; Sio TT; Ning MS,"Premier Radiation Oncology Associates, Clearwater, Florida, USA.; Department of Radiation Oncology, Mayo Clinic, Phoenix, Arizona, USA.; Department of Radiation Oncology, MD Anderson Cancer Center, Houston, Texas, USA.",N/A
40084069,Computational Cellular Mathematical Model Aids Understanding the cGAS-STING in NSCLC Pathogenicity.,2025-Mar,Khandibharad S; Gulhane P; Singh S,"Systems Medicine Laboratory, Biotechnology Research and Innovation Council - National Centre for Cell Science, NCCS Complex, Ganeshkhind, SPPU Campus, Pune, India.; Systems Medicine Laboratory, Biotechnology Research and Innovation Council - National Centre for Cell Science, NCCS Complex, Ganeshkhind, SPPU Campus, Pune, India.; Systems Medicine Laboratory, Biotechnology Research and Innovation Council - National Centre for Cell Science, NCCS Complex, Ganeshkhind, SPPU Campus, Pune, India.",N/A
